"Member__r.Name","Challenge__r.Challenge_Id__c","Place__c","Points_Awarded__c","Score__c","Status__c","Submitted_Date__c"
"singhjimmy20","1117","","0.0","0.0","Registered",""
"rsankhwaya","1128","","0.0","0.0","Registered",""
"tspriyaa","1117","","0.0","0.0","Registered",""
"rahul120","1117","","0.0","0.0","Registered",""
"shahprincess","1117","","0.0","0.0","Registered",""
"somnath","1117","","0.0","0.0","Registered",""
"yash13raj","1132","","0.0","0.0","Registered",""
"DJHACKRAJ","1117","","0.0","0.0","Registered",""
"Imteyaz","1117","","0.0","0.0","Registered","2011-12-19T14:03:19.000Z"
"richarma","1117","","0.0","0.0","Registered",""
"nitinjain","1060","","0.0","0.0","Registered",""
"ritesh","1060","","0.0","0.0","Registered",""
"GlennW","1060","","0.0","0.0","Registered",""
"kadarusj","1066","","0.0","0.0","Registered",""
"kadarusj","1068","","0.0","0.0","Registered",""
"tnjitsu","1064","","0.0","0.0","Registered",""
"Sumit","1065","","0.0","0.0","Submission Rejected","2011-12-19T14:03:00.000Z"
"msingh","1075","","0.0","0.0","Registered",""
"msingh","1065","","0.0","0.0","Submission Rejected","2011-12-19T14:03:00.000Z"
"alamora","1075","","0.0","0.0","Registered",""
"Sumit","1069","","0.0","0.0","Registered",""
"anup","1064","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"apexsutherland","1064","","0.0","0.0","Registered",""
"totalanomaly","1069","","0.0","0.0","Registered",""
"richardcardona","1067","","0.0","0.0","Registered",""
"JohnRyan","1064","","0.0","0.0","Registered",""
"aslambari","1070","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"romin","1066","1","450.0","100.0","Won","2011-12-19T14:03:00.000Z"
"romin","1064","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"forcetree","1063","","0.0","0.0","Registered",""
"JoshuaDerek","1068","","0.0","0.0","Registered",""
"fifedog","1070","","0.0","0.0","Registered",""
"JoshuaDerek","1064","","0.0","0.0","Registered",""
"minichate","1066","","0.0","0.0","Registered",""
"aniketwalwante","1103","","0.0","0.0","Registered",""
"chandra","1097","","0.0","0.0","Registered",""
"qaisar","1105","","0.0","0.0","Registered",""
"techtrekker","1108","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"VasantC","1104","","0.0","0.0","Registered",""
"mragankgaur","1103","","0.0","0.0","Registered",""
"sidhartha","1100","","0.0","25.0","Registered","2011-12-19T14:03:01.000Z"
"kenkhan89","1097","","0.0","0.0","Registered",""
"phanidhar","1097","","0.0","0.0","Registered",""
"jat_madi89","1104","","0.0","0.0","Registered",""
"jat_madi89","1107","","0.0","0.0","Registered",""
"roma","1104","","0.0","0.0","Registered",""
"ahamedfahad96","1097","","0.0","0.0","Registered",""
"ahamedfahad96","1106","","0.0","0.0","Registered",""
"manishsonu","1103","","0.0","25.0","Registered","2011-12-19T14:03:01.000Z"
"Rithin","1106","","0.0","0.0","Registered",""
"lavi","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"arshad4u","1103","","0.0","0.0","Registered",""
"shashwatkesarwan","1097","","0.0","0.0","Registered",""
"techtrekker","1102","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"ChrisODavies","1108","","0.0","0.0","Registered",""
"romin","1106","3","170.0","75.0","Lost","2011-12-19T14:03:01.000Z"
"kindheart","1108","","0.0","0.0","Registered",""
"arungre","1103","","0.0","0.0","Registered",""
"jitpatel","1103","","0.0","0.0","Registered",""
"vishals","1105","","0.0","0.0","Registered",""
"bullseye4balu","1106","","0.0","0.0","Registered",""
"jkhunt","1097","","0.0","0.0","Registered",""
"acorv","1106","3","170.0","75.0","Lost","2011-12-19T14:03:01.000Z"
"msingh","1105","","0.0","0.0","Registered",""
"vincy","1105","","0.0","0.0","Registered",""
"richarma","1131","","0.0","0.0","Registered",""
"richarma","1132","","0.0","0.0","Registered",""
"pk1768","1117","","0.0","0.0","Registered",""
"shalki","1117","","0.0","0.0","Registered",""
"shalki","1131","","0.0","0.0","Registered",""
"shalki","1132","","0.0","0.0","Registered",""
"maai_c","1117","","0.0","0.0","Registered",""
"navneet5","1117","","0.0","0.0","Registered",""
"neon_engin","1117","","0.0","0.0","Registered",""
"inderpreet","1117","","0.0","0.0","Registered",""
"suresh0503","1131","","0.0","0.0","Registered",""
"Kenji776","1132","1","1200.0","100.0","Won","2011-12-19T14:03:19.000Z"
"rtsprakash","1117","","0.0","0.0","Registered",""
"abhishek001","1132","","0.0","0.0","Registered",""
"silamparasan","1117","","0.0","0.0","Registered",""
"ahamadckt","1131","","0.0","0.0","Registered",""
"kishorepk45229","1132","","0.0","0.0","Registered",""
"nishi_kishore","1117","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"vilas","1117","","0.0","0.0","Registered",""
"tamilmani1020","1117","","0.0","0.0","Registered",""
"balam","1117","","0.0","0.0","Registered",""
"gauravgkgk","1117","","0.0","0.0","Registered","2011-12-19T14:03:03.000Z"
"harikrishna","1117","","0.0","0.0","Registered",""
